ID,Docstatus,Installation_Date,Customer,Owner,Status,Remarks,Creation,Item_Code,Installed_Qty,Acquisition_Type,Equipment_Type,Maintenance_Interval,Last_Date_Maintained
INST0021,1,2020-11-26,Kaneshie Medical Centre,michael.frimpong@dcllabx.com,Submitted,Installation and User training successfully done,2020-11-26 15:26:31,MCRS01,1,Outright,Non- Analyzer,12 Months,2020-11-26
INST0020,1,2020-11-26,Obom Government Health Centre,michael.frimpong@dcllabx.com,Submitted,Installation and user training successfully done,2020-11-26 9:45:00,A380,1,Sold,Analyzer,12 Months,2020-11-26
INST0022,1,2020-12-29,Sam Jonah Hospital,kwame.baah@dcllabx.com,Submitted,"Installation, calibration and training of end-users carried out successfully",2021-01-04 10:34:30,Maintenance Certification of Biobase Biosafety Cabinet BSC 4F82 S N 4FA1601013,1,Outright,Non- Analyzer,12 Months,2020-12-29
INST0023,1,2021-01-29,Ada East District Hospital,elsie.kafui@dcllabx.com,Submitted,"Installation and end-user training of Smartlyte Plus Electrolyte analyzer was successfully done.
-Calibration, 3-level controls and patient samples run passed successfully",2021-02-04 8:55:14,0-DD-SMARTLYTEPLUS,1,Outright,Analyzer,12 Months,2021-01-29
INST0125,1,2021-02-01,AngloGold Ashanti Health Foundation,patrina.otoo@dcllabx.com,Submitted,serial number; BSC11A200061959,2023-04-28 13:02:38,BSC-1500IIB2,1,Outright,Non- Analyzer,12 Months,2021-02-01
INST0026,1,2021-03-01,AngloGold Ashanti Health Foundation,elsie.kafui@dcllabx.com,Submitted,Installation was successful,2021-03-17 12:35:16,BSC1200IIA2 Z,1,Outright,Non- Analyzer,12 Months,2021-03-01
INST0024,1,2021-03-11,AMAMORLEY HEALTH CENTRE,michael.frimpong@dcllabx.com,Submitted,"Installation and User Training done successfully on an Abacus 380 with serial number 642837 on 10th March ,2021 at Amamorley Govt. Hospital",2021-03-11 10:49:21,A380,1,Placement (To be picked ),Analyzer,6 Months,2021-03-11
INST0025,1,2021-03-12,Impact Diagnostic & Medical Center,elsie.kafui@dcllabx.com,Submitted,Installation was successful,2021-03-12 9:46:29,DW-FL-90,1,Outright,Non- Analyzer,12 Months,2021-03-12
INST0027,1,2021-03-19,Simon Colvin,elsie.kafui@dcllabx.com,Submitted,Installation of medical refrigerator MERLIN,2021-03-19 15:45:29,2~8oC/-10~-40oC,1,Outright,Non- Analyzer,12 Months,2021-03-19
INST0028-1,2,2021-03-22,Damang Mine Lab,elsie.kafui@dcllabx.com,Cancelled,"Haier Class II B2 BSC, HR40-11B2 (Saftey Cabinet) with serial number BE03C 2E060 OQHLB G0001 was installed by Mr. Emmanuel Attah on the 20th of March,2021 at the Damang Mines PCR lab. Also, intense user training was successfully done",2021-03-22 17:25:41,BSC-1300IIB2,1,Outright,Non- Analyzer,12 Months,2021-03-22
INST0029,1,2021-03-22,GoldFields Limited,michael.frimpong@dcllabx.com,Submitted,"Haier Class II B2 BSC, HR40-11B2 (Saftey Cabinet) with serial number BE03C 2E060 OQHLB G0001 was installed by Mr. Emmanuel Attah on the 20th of March,2021 at the Damang Mines PCR lab. Also, intense user training was successfully done",2021-03-22 17:11:15,BSC-1300IIB2-X,1,Outright,Non- Analyzer,12 Months,2021-03-22
INST0030,1,2021-04-08,University of Ghana,elsie.kafui@dcllabx.com,Submitted,Installation was successful,2021-04-08 9:40:15,GeneXpert IV,1,Placement,Analyzer,6 Months,2021-04-08
INST0030,1,2021-04-08,University of Ghana,elsie.kafui@dcllabx.com,Submitted,Installation was successful,2021-04-08 9:40:15,CSL-COMBIBOX-MINI,2,Outright,Non- Analyzer,12 Months,2021-04-08
INST0031,1,2021-04-23,G2 Medical Laboratory Service,elsie.kafui@dcllabx.com,Submitted,Installation and end-user training of SMARTLYTE PLUS ISE analyzer,2021-04-26 15:44:06,0-DD-SMARTLYTEPLUS,1,Outright,Analyzer,12 Months,2021-04-23
INST0032,1,2021-04-26,Canadian High Commission,elsie.kafui@dcllabx.com,Submitted,Installation of -40 merlin laboratory freezer,2021-04-26 16:01:36,DW-FL-90,1,Outright,Non- Analyzer,12 Months,2021-04-26
INST0033,1,2021-04-30,Amanfrom Hospital,kofi.dankwah@dcllabx.com,Draft,Installation successful.,2021-05-04 16:42:23,A380,1,Outright,Analyzer,12 Months,2021-04-30
INST0034,1,2021-05-04,Canadian High Commission,elsie.kafui@dcllabx.com,Submitted,Installation of MERLIN table top laboratory refrigerator successful,2021-05-05 9:40:48,BXC V360M,1,Outright,Non- Analyzer,12 Months,2021-05-04
INST0035,1,2021-05-10,British High Commission,elsie.kafui@dcllabx.com,Submitted,Installation of medical refrigerator MERLIN,2021-05-18 8:43:04,2~8oC/-10~-40oC,1,Outright,Non- Analyzer,12 Months,2021-05-10
INST0039,1,2021-05-12,Suhum Government Hospital,kofi.dankwah@dcllabx.com,Draft,Installation of BIOBASE Constant-Temperature Incubator and end-user training.,2021-06-22 9:34:01,BJPX-H80,1,Outright,Non- Analyzer,12 Months,2021-05-12
INST0037,1,2021-05-18,Akatsi District Hospital,michael.frimpong@dcllabx.com,Submitted,Installation and user training was successful,2021-05-24 9:36:33,centrifuge Nf,1,Outright,Non- Analyzer,12 Months,2021-05-18
INST0038,1,2021-05-18,Akatsi District Hospital,michael.frimpong@dcllabx.com,Submitted,installation and user training successful,2021-05-24 9:50:04,CR-68X,1,Outright,Non- Analyzer,12 Months,2021-05-18
INST0036,1,2021-05-19,Adidome Government Hospital,kwame.baah@dcllabx.com,Submitted,Installation and User training successful,2021-05-24 9:33:32,S001,1,Placement,Analyzer,6 Months,2023-06-19
INST0040,1,2021-08-10,Alma Medical Laboratory,elsie.kafui@dcllabx.com,Submitted,Installation of Smartlyte Plus Analyzer,2021-08-16 16:56:12,0-DD-SMARTLYTEPLUS,1,Outright,Analyzer,12 Months,2021-08-10
INST0042,1,2021-08-16,VRA Hospital (T.T.P.S),elsie.kafui@dcllabx.com,Submitted,Installation and end-user training of Convergys auto ISE analyzer,2021-08-16 17:07:49,1100-1047,1,Outright,Non- Analyzer,12 Months,2021-08-16
INST0041,1,2021-08-16,Adjani Yin Ltd,elsie.kafui@dcllabx.com,Submitted,Installation and end-user training of smartlyte plus analyzer,2021-08-16 17:00:18,0-DD-SMARTLYTEPLUS,1,Outright,Analyzer,12 Months,2021-08-16
INST0145,1,2021-08-21,Tolon District Hospital,patrina.otoo@dcllabx.com,Submitted,"Installation and user training 

Serial number ; 18-9624",2023-05-04 12:06:00,6003 542,1,Outright,Analyzer,12 Months,2021-08-21
INST0044,1,2021-08-25,VAMED Health Projects UK Ltd.,theophilus.lartey@dcllabx.com,Submitted,Installation was successful,2021-09-13 8:19:27,6003 542,1,Outright,Analyzer,12 Months,2021-08-25
INST0043,1,2021-09-01,IMAH-International Maritime Hospital,elsie.kafui@dcllabx.com,Submitted,Installation and user training of Blood cell separator ROTIXA 500 RS,2021-09-02 11:08:28,500 RS,1,Outright,Non- Analyzer,12 Months,2021-09-01
INST0046,1,2021-09-08,VAMED Health Projects UK Ltd.,theophilus.lartey@dcllabx.com,Submitted,Installation was successful,2021-09-13 8:30:47,6003 542,1,Outright,Analyzer,12 Months,2021-09-08
INST0047,1,2021-09-13,Trust Hospital,michael.frimpong@dcllabx.com,Submitted," Leica DM 500 microscopes were installed successfully at Trust Hospital,OSU",2021-09-13 17:34:17,DM500,2,Outright,Non- Analyzer,12 Months,2021-09-13
INST0045,1,2021-09-13,VAMED Health Projects UK Ltd.,theophilus.lartey@dcllabx.com,Submitted,Installation was successful,2021-09-13 8:25:55,6003 542,1,Outright,Analyzer,12 Months,2021-09-13
INST0048,1,2021-09-14,West African Centre for Cell Biology of Infectious Pathogens (WACCBIP),elsie.kafui@dcllabx.com,Submitted,Successful installation of three -40 Merlin freezers,2021-09-14 17:04:30,DW-FL-90,3,Outright,Non- Analyzer,12 Months,2021-09-14
INST0049,1,2021-09-16,University of Ghana,elsie.kafui@dcllabx.com,Submitted,Installation and user training of Selectra Pro-S (without ISE),2021-09-17 11:27:10,6003 542,1,Placement,Analyzer,6 Months,2021-09-16
INST0050,1,2021-09-30,NKZ Happy Family Hospital,michael.frimpong@dcllabx.com,Submitted,"Installation and training was successful.
3-level controls, blank and patient samples passed successfully.  ",2021-09-30 15:46:39,A380,1,Outright,Analyzer,12 Months,2021-09-30
INST0051,1,2021-10-19,VAMED Health Projects UK Ltd.,elsie.kafui@dcllabx.com,Submitted,"Installation and training on MicroLab 300 at Bamboi PolyClinic.
SUCCESSFUL",2021-10-22 9:42:05,6002-310,1,Outright,Analyzer,12 Months,2021-10-19
INST0052,1,2021-10-21,VAMED Health Projects UK Ltd.,kwame.baah@dcllabx.com,Submitted,"Installation at Ketu North District Hospital- Wheta was successful

SN: 18-9685",2021-10-25 14:53:01,6003-543,1,Outright,Analyzer,12 Months,2021-10-21
INST0149,1,2021-11-03,Yemaachi Biotech,patrina.otoo@dcllabx.com,Submitted,"Serial number , 201130897",2023-05-12 10:28:31,YC-725L,1,Outright,Non- Analyzer,12 Months,2021-11-03
INST0053,1,2021-11-03,KNUST,kwame.baah@dcllabx.com,Submitted,"Installation successful

SN: FHI2C210300008A",2021-11-03 9:34:46,FH700,1,Outright,Non- Analyzer,12 Months,2021-11-03
INST0120,1,2021-11-19,Effia Nkwanta Regional Hospital,patrina.otoo@dcllabx.com,Submitted,Installation and user training completed,2023-04-28 12:31:21,Gen 981,1,Outright,Non- Analyzer,12 Months,2021-11-19
INST0054,1,2021-12-02,Ghana Ports and Habour Authority- Takoradi,kofi.dankwah@dcllabx.com,Submitted,Installation of Leica Binocular fluorescence-capable microscope,2021-12-06 17:12:27,13613403,1,Outright,Non- Analyzer,12 Months,2021-12-02
INST0055,1,2021-12-02,Ghana Ports and Habour Authority- Takoradi,kofi.dankwah@dcllabx.com,Submitted,Installation of Diagon Coagulometer,2021-12-06 17:21:16,COAG-S,1,Outright,Non- Analyzer,12 Months,2021-12-02
INST0056,1,2021-12-02,Ghana Ports and Habour Authority- Takoradi,kofi.dankwah@dcllabx.com,Submitted,Installation of Biobase Infrared Sterilizer Type I,2021-12-06 17:25:08,Type-I,2,Outright,Non- Analyzer,12 Months,2021-12-02
INST0057,1,2021-12-15,Oda Government Hospital,kwame.baah@dcllabx.com,Submitted,Installation successful,2021-12-17 11:46:57,VERSANA ESSENTIAL - 3 PROBES Ultrasound,1,Outright,Non- Analyzer,12 Months,2021-12-15
INST0059,1,2021-12-20,IOM (International Organization for Migration),elsie.kafui@dcllabx.com,Submitted,Installation of ducted Biobase BSC and autoclave,2021-12-20 13:51:38,BSC-1300IIB2-X,1,Outright,Non- Analyzer,12 Months,2021-12-20
INST0059,1,2021-12-20,IOM (International Organization for Migration),elsie.kafui@dcllabx.com,Submitted,Installation of ducted Biobase BSC and autoclave,2021-12-20 13:51:38,BKM-Z24B,1,Outright,Non- Analyzer,12 Months,2021-12-20
INST0058,1,2021-12-30,Trust Hospital,elsie.kafui@dcllabx.com,Submitted,"Installation and training of ducted Biological Safety Cabinet 
Class 2B II",2021-12-20 13:47:41,BSC-1300IIB2-X,1,Outright,Non- Analyzer,12 Months,2021-12-30
INST0060,1,2022-01-05,Ghana Infectious Disease Centre (GIDC),elsie.kafui@dcllabx.com,Submitted,Installation and training of Biobase BSC Class II A2,2022-01-10 10:44:19,11231BBC86,1,Outright,Non- Analyzer,12 Months,2022-01-05
INST0061,1,2022-01-20,Ghana Ports and Habour Authority- Takoradi,kwame.baah@dcllabx.com,Submitted,Installation of 2 ultrasound units successful,2022-01-24 9:46:21,VERSANA PREMIERE - 3 PROBES ULTRASOUND,1,Outright,Non- Analyzer,12 Months,2022-01-20
INST0061,1,2022-01-20,Ghana Ports and Habour Authority- Takoradi,kwame.baah@dcllabx.com,Submitted,Installation of 2 ultrasound units successful,2022-01-24 9:46:21,Ultrasound Versana Premiere VS,1,Outright,Non- Analyzer,12 Months,2022-01-20
INST0062,1,2022-01-26,Pantang Hospital,elsie.kafui@dcllabx.com,Submitted,Installation and training on Biobase 150L Autoclave,2022-01-26 16:02:27,BKQ-B150(II),1,Outright,Non- Analyzer,12 Months,2022-01-26
INST0063,1,2022-02-10,VAMED Health Projects UK Ltd.,kwame.baah@dcllabx.com,Submitted,"On powering the analyzer a burning scent was perceived so the analyzer was powered off. On further troubleshooting, we replaced the valve control board, reagent pipettor motor, and motion control board.

Installation, Technical and End-user training was carried out successfully.
",2022-02-10 8:58:54,6003-543,1,Outright,Analyzer,,2022-02-10
INST0064,1,2022-02-18,Ashesi University,kwame.baah@dcllabx.com,Submitted,Installation and User training carried out successfully,2022-02-21 10:05:56,BKM-Z45B(III),1,Outright,Non- Analyzer,12 Months,2022-02-18
INST0064,1,2022-02-18,Ashesi University,kwame.baah@dcllabx.com,Submitted,Installation and User training carried out successfully,2022-02-21 10:05:56,FH700,2,Outright,Non- Analyzer,12 Months,2022-02-18
INST0064,1,2022-02-18,Ashesi University,kwame.baah@dcllabx.com,Submitted,Installation and User training carried out successfully,2022-02-21 10:05:56,11231BBC86,2,Outright,Non- Analyzer,12 Months,2022-02-18
INST0065,1,2022-02-21,Police Hospital,elsie.kafui@dcllabx.com,Submitted,Installation of Smartlyte plus,2022-02-21 16:48:43,0-DD-SMARTLYTEPLUS,1,Outright,Analyzer,12 Months,2022-02-21
INST0070,1,2022-03-15,AMANFROM HEALTH CENTRE - POKUASI,michael.oduro@dcllabx.com,Submitted,Installation and training was successfully executed,2022-03-25 8:57:23,H360,1,Placement,Analyzer,6 Months,2022-03-15
INST0066,1,2022-03-16,Ghana Infectious Disease Centre (GIDC),kwame.baah@dcllabx.com,Submitted,Installation and certification done successfully,2022-03-16 14:07:14,11231BBC86,1,Outright,Non- Analyzer,12 Months,2022-03-16
INST0068,1,2022-03-16,Trust Hospital,elsie.kafui@dcllabx.com,Submitted,Installation and user training of ULT freezer,2022-03-16 14:16:52,DW-86L578J,1,Outright,Non- Analyzer,12 Months,2022-03-16
INST0067,1,2022-03-16,Police Hospital,elsie.kafui@dcllabx.com,Submitted,Installation and user training of -80 ULT freezer,2022-03-16 14:11:54,DW-86L578J,1,Outright,Non- Analyzer,12 Months,2022-03-16
INST0069,1,2022-03-17,Cape Coast Teaching Hospital,elsie.kafui@dcllabx.com,Submitted,Installation and user training on Selectra Pro-XL,2022-03-18 8:59:25,6003 702,1,Placement,Analyzer,6 Months,2022-03-17
INST0121,1,2022-03-19,Effia Nkwanta Regional Hospital,patrina.otoo@dcllabx.com,Submitted,"serial number; 20-9683

Installation ( replacement of Pro s)",2023-04-28 12:36:25,6003 542,1,Placement,Analyzer,6 Months,2022-03-19
INST0075,1,2022-03-24,Navrongo Health Research centre,elsie.kafui@dcllabx.com,Submitted,Installation and training of Merlin -80 freezer,2022-04-07 9:40:29,DW-HL528S,1,Outright,Non- Analyzer,12 Months,2022-03-24
INST0071,1,2022-03-25,IOM (International Organization for Migration),michael.frimpong@dcllabx.com,Submitted,"Installation , Calibration, and user training successfully done ",2022-03-25 9:24:05,BSC-1300IIB2,1,Outright,Non- Analyzer,12 Months,2022-03-25
INST0073,1,2022-04-01,University of Ghana,michael.oduro@dcllabx.com,Submitted,Set up and installation of micro centrifuge successful,2022-04-04 8:39:19,5425G,1,Outright,Non- Analyzer,12 Months,2022-04-01
INST0074,1,2022-04-04,Navrongo Health Research centre,elsie.kafui@dcllabx.com,Submitted,Installation of Medica EasyStat analyzer,2022-04-07 9:34:28,Blood Gas Analyzer,1,Outright,Analyzer,12 Months,2022-04-04
INST0076,1,2022-05-10,Acres Medical Center,kwame.baah@dcllabx.com,Submitted,Setup and installation done successfully.,2022-05-12 9:39:35,VERSANA ESSENTIAL - 3 PROBES Ultrasound,1,Outright,Non- Analyzer,12 Months,2022-05-10
INST0077,1,2022-05-31,University of Ghana,elsie.kafui@dcllabx.com,Submitted,Installation and training of BIOBASE Fume hood Cabinet,2022-06-01 12:30:56,FH1200(A),1,Outright,Non- Analyzer,12 Months,2022-05-31
INST0078,1,2022-06-03,TRINITY COMMUNITY HOSPITAL,michael.oduro@dcllabx.com,Submitted,Set up and installation of analyzer together with training of end users was successfully completed.,2022-06-06 8:20:30,H360,1,Placement,Analyzer,6 months,2022-06-03
INST0081,1,2022-06-06,Navrongo Health Research centre,kofi.dankwah@dcllabx.com,Submitted,Installation and end-user training of Meling Ultra-Low Temperature Freezers.,2022-06-09 11:08:38,DW-HL218,1,Outright,Non- Analyzer,12 Months,2022-06-06
INST0081,1,2022-06-06,Navrongo Health Research centre,kofi.dankwah@dcllabx.com,Submitted,Installation and end-user training of Meling Ultra-Low Temperature Freezers.,2022-06-09 11:08:38,DW-HL218,1,Outright,Non- Analyzer,12 Months,2022-06-06
INST0080,1,2022-06-09,IOM (International Organization for Migration),michael.frimpong@dcllabx.com,Submitted,Pharmacy refrigerator installed successfully,2022-06-09 9:26:54,YC-315L,1,Outright,Non- Analyzer,12 Months,2022-06-09
INST0079,1,2022-06-09,University of Ghana,michael.frimpong@dcllabx.com,Submitted,Equipment has been successfully installed and the customer has been trained,2022-06-09 9:03:40,FH1500,1,Outright,Non- Analyzer,12 Months,2022-06-09
INST0082,1,2022-06-24,Osu Government Maternity Home,michael.oduro@dcllabx.com,Submitted,Set up and installation of analyzer together with training of end users was successfully completed.,2022-06-27 8:58:03,H360,1,Outright,Analyzer,12 Months,2022-06-24
INST0083,1,2022-08-01,Komfo Anokye Teaching Hospital,wgilbert@dcllabx.com,Submitted,"Installed successfully

Serial number: 590550",2022-08-02 10:10:03,11888856,1,Outright,Non- Analyzer,12 Months,2022-08-01
INST0084,1,2022-08-25,2 Medical Reception Station (2MRS),kwame.baah@dcllabx.com,Submitted,"Installation and user training successfully done.

SN: K11052033020",2022-08-29 10:00:45,ELite 580,1,Placement,Analyzer,6 months,2022-08-25
INST0089,1,2022-09-15,"New Crystal Hospital, Takoradi",theophilus.lartey@dcllabx.com,Submitted,20-9668,2022-09-19 9:17:59,6003-543,1,Placement,Analyzer,6 months,2022-09-15
INST0090,1,2022-09-16,Presbyterian Hospital,michael.oduro@dcllabx.com,Submitted,"Set up, installation and end user training was successfully completed on smartlyte Plus.

SN - 44-211001451",2022-09-19 15:20:57,0-DD-SMARTLYTEPLUS,1,Outright,Analyzer,12 Months,2022-09-16
INST0091,1,2022-09-23,Alisona Diagnostic Centre,michael.oduro@dcllabx.com,Submitted,"S.N.  - 44-211001434

Analyzer was successfully installed and training was executed successfully. ",2022-10-17 8:52:42,0-DD-SMARTLYTEPLUS,1,Outright,Analyzer,12 Months,2022-09-23
INST0092,1,2022-11-09,HopeXchange Medical Centre,wgilbert@dcllabx.com,Submitted,"The Equipment was installed successfully and tested Ok.

Serial number of main microscope: 552033",2022-11-09 13:31:51,11622050,1,Outright,Non- Analyzer,12 Months,2022-11-09
INST0093,1,2022-11-18,Yemaachi Biotech,kofi.dankwah@dcllabx.com,Submitted,"- Installation and End-User training successfully done
- Temperature drop-down check",2022-11-21 8:47:09,DW-40L348,1,Outright,Non- Analyzer,12 Months,2022-11-18
INST0094,1,2022-11-22,Suame Municipal Health Directorate,wgilbert@dcllabx.com,Submitted,"SUCCESSFULLY INSTALLED AND TESTED OK

S/N: G2021008526",2022-11-23 14:52:18,DM300,1,Outright,Non- Analyzer,12 Months,2022-11-22
INST0095,1,2022-12-20,The Diascan Center Limited,kofi.dankwah@dcllabx.com,Submitted,Installation and end-user training successfully performed.,2022-12-22 8:48:32,2063587-001,1,Outright,Non- Analyzer,12 Months,2022-12-20
INST0096,1,2023-01-13,IOM (International Organization for Migration),kofi.dankwah@dcllabx.com,Submitted,Successful installation and end-user training.,2023-01-13 12:18:43,6003 542,1,Outright,Analyzer,12 Months,2023-01-13
INST0097,1,2023-01-23,University Hospital,cecil.ayeebo@dcllabx.com,Submitted,"Serial Number: 510802

Installation and user training completed.",2023-01-23 14:37:39,A5 1,1,Outright,Non- Analyzer,12 Months,2023-01-23
INST0098,1,2023-02-03,Deseret Hospital,michael.oduro@dcllabx.com,Submitted,"Installation and Training of analyzer was successfully completed.

S.N. K11052025057",2023-02-06 8:49:30,ELite 580,1,Placement,Analyzer,6 months,2023-02-03
INST0099,1,2023-02-15,Ashesi University,cecil.ayeebo@dcllabx.com,Submitted,"Installation of the water purification system and user training was done successfully. 

Serial Number for Elix 3UV - F9PA20207",2023-02-15 14:52:22,Synergy® Kit UK,1,Outright,Non- Analyzer,12 Months,2023-02-15
INST0099,1,2023-02-15,Ashesi University,cecil.ayeebo@dcllabx.com,Submitted,"Installation of the water purification system and user training was done successfully. 

Serial Number for Elix 3UV - F9PA20207",2023-02-15 14:52:22,ZLXEV030EU,1,Outright,Non- Analyzer,12 Months,2023-02-15
